Wordstream Keyword Niche Finder,8,0,0.5
PeerIndex,6,0,0.496
JOLO Recharge,7,3,0.492125984252
Basecamp,6,2,0.492063492063
Commission Junction,6,2,0.492063492063
Kuler,4,0,0.491935483871
Authorize.Net,4,1,0.489959839357
Facebook,3,0,0.48987854251
Foxrate,3,0,0.48987854251
AddThis Menu,6,4,0.488188976378
FotoFlexer,3,1,0.487903225806
PayPal,2,0,0.487804878049
Calais,2,0,0.487804878049
Scandit Product,2,0,0.487804878049
PaperCut,2,0,0.487804878049
Shopzilla,3,2,0.4859437751
Wikimapia,3,2,0.4859437751
Google AdWords,2,1,0.485829959514
Page2Images,2,1,0.485829959514
Flickr,1,0,0.485714285714
Yahoo Site Explorer,1,0,0.485714285714
Twitter,1,0,0.485714285714
FedEx,1,0,0.485714285714
F My Life,2,2,0.483870967742
NCBI Entrez,1,1,0.483739837398
Orange Search Top Trends,1,1,0.483739837398
Meez,1,1,0.483739837398
Chikka SMS,1,1,0.483739837398
StrikeIron Reverse Phone and Address Append,0,0,0.483606557377
itBit Trading,0,0,0.483606557377
Baynote,0,0,0.483606557377
Netflix,0,0,0.483606557377
Australia Post,0,0,0.483606557377
Urloid,0,0,0.483606557377
TravEnjoy,0,0,0.483606557377
EarthTools,0,0,0.483606557377
NY Senate,0,0,0.483606557377
Estimote,0,0,0.483606557377
Winamp,0,0,0.483606557377
Google Checkout,0,0,0.483606557377
Wordtracker,0,0,0.483606557377
Salesforce.com,1,2,0.481781376518
Pinnacle Sports,0,1,0.481632653061
Bank Swift IFSC Code,0,1,0.481632653061
Ping.fm,0,1,0.481632653061
StrikeIron IP Address Lookup,0,1,0.481632653061
Amadeus,0,1,0.481632653061
Google Homepage,0,1,0.481632653061
InteliChoice,0,1,0.481632653061
Yelp,0,1,0.481632653061
EVE Online CREST Carbon RESTful,0,1,0.481632653061
Alexa Web Information Service,0,1,0.481632653061
Mobikwik,0,1,0.481632653061
YouTube,2,4,0.48
Lyricsfly,1,3,0.479838709677
Shutterfly,1,3,0.479838709677
WSRelater,0,2,0.479674796748
Democracy In Action,0,2,0.479674796748
Snipt,0,2,0.479674796748
Active,0,2,0.479674796748
XML Soccer,0,2,0.479674796748
xeno-canto,0,2,0.479674796748
Microsoft adCenter,3,6,0.478260869565
Enomalism,1,4,0.477911646586
Trulia,1,4,0.477911646586
LinkedIn,1,5,0.476
Google Maps,17,23,0.475352112676
JOLO SMS,4,13,0.467432950192
Shopping.com,2,11,0.466926070039
